====================================================================================================
==============================================MiscItem==============================================
====================================================================================================
Old horseshoe [0171d2f2-75f1-474c-8b75-07e08d64345b]                             Price=42 Type=5 VisibilityCoef=1 SubType=0
====================================================================================================
===============================================Armor================================================
====================================================================================================
A suspicious bag [a7f1527d-299c-4796-bec9-7acc14c59e4b]                          Price=77807 DefenseStab=156 DefenseSlash=114 SocialClassId=60 DefenseSmash=39 MaxStatus=27 Charisma=24 MaxQuality=4 Noise=1 FadeCoef=1 StrReq=0 WealthLevel=0
A suspicious bag [fd69ff98-89fb-4268-b97a-65a8a58b1b1b]                          Price=77807 DefenseStab=156 DefenseSlash=114 DefenseSmash=39 MaxStatus=27 Charisma=24 MaxQuality=4 SocialClassId=3 Noise=1 FadeCoef=1 StrReq=0 WealthLevel=0
Laminar knight legs [2ca3d4ee-e889-41e6-8ecc-4040b68ccdd8]                       Price=65327 DefenseStab=151 DefenseSlash=111 DefenseSmash=39 Charisma=29 MaxStatus=27 MaxQuality=4 SocialClassId=3 Noise=1 FadeCoef=1 StrReq=0 WealthLevel=0
Laminar knight legs [3663335c-7756-4b8d-82fb-064149197de4]                       Price=65327 DefenseStab=151 DefenseSlash=111 DefenseSmash=39 Charisma=29 MaxStatus=27 MaxQuality=4 SocialClassId=3 Noise=1 FadeCoef=1 StrReq=0 WealthLevel=0
Laminar knight legs [4d22fab7-9424-429f-a443-14eed1cc11f2]                       Price=65327 DefenseStab=151 DefenseSlash=111 DefenseSmash=39 Charisma=29 MaxStatus=27 MaxQuality=4 SocialClassId=3 Noise=1 FadeCoef=1 StrReq=0 WealthLevel=0
Jezhek's plate chausses [2cf06381-7692-4f3c-b917-e98dd3b5f8e3]                   Price=54610 DefenseStab=147 DefenseSlash=107 DefenseSmash=38 MaxStatus=26 Charisma=21 MaxQuality=4 SocialClassId=3 FadeCoef=1 StrReq=0 WealthLevel=0
A suspicious bag [d3f2c2e8-dd01-4455-b654-4513ca28c055]                          Price=54513 DefenseStab=145 DefenseSlash=105 DefenseSmash=37 MaxStatus=27 Charisma=24 MaxQuality=4 SocialClassId=3 FadeCoef=1 StrReq=0 WealthLevel=0
Noble laminar hands [729ebab8-9044-455b-a532-423622c7f2b1]                       Price=58937 DefenseStab=151 DefenseSlash=111 SocialClassId=60 DefenseSmash=39 MaxStatus=25 Charisma=19 WealthLevel=10 MaxQuality=4 Weight=4 FadeCoef=1 StrReq=0
Noble laminar hands [41ca6379-56eb-4f98-97ba-539e76981544]                       Price=51872 DefenseStab=145 DefenseSlash=105 SocialClassId=60 DefenseSmash=37 MaxStatus=24 Charisma=18 WealthLevel=10 MaxQuality=4 FadeCoef=1 StrReq=0
A suspicious bag [f68584b7-1460-4cf2-9485-b4c554aa54a8]                          Price=51567 DefenseStab=147 DefenseSlash=107 SocialClassId=60 DefenseSmash=38 MaxStatus=24 Charisma=17 WealthLevel=10 MaxQuality=4 FadeCoef=1 StrReq=0
A suspicious bag [1c493151-714a-4fa8-b98d-28194211736e]                          Price=50980 DefenseStab=145 DefenseSlash=105 DefenseSmash=37 MaxStatus=24 Charisma=13 MaxQuality=4 SocialClassId=3 FadeCoef=1 StrReq=0 WealthLevel=0
A suspicious bag [86183abd-43c5-4762-8a0c-12f4a8057fe7]                          Price=42213 DefenseStab=138 DefenseSlash=100 DefenseSmash=36 MaxStatus=24 Charisma=15 MaxQuality=4 SocialClassId=3 FadeCoef=1 StrReq=0 WealthLevel=0
Kastenbrust [65ebe8ab-14d5-475e-b31b-a2c6624560a7]                               Price=41860 DefenseStab=138 DefenseSlash=100 DefenseSmash=36 MaxStatus=27 Charisma=27 MaxQuality=4 SocialClassId=3 FadeCoef=1 StrReq=0 WealthLevel=0
Jezhek's plate pauldrons [7b6a90fc-06f4-4618-8900-c0693c29d540]                  Price=41607 DefenseStab=143 DefenseSlash=104 DefenseSmash=37 MaxStatus=25 Charisma=22 MaxQuality=4 SocialClassId=3 FadeCoef=1 StrReq=0 WealthLevel=0
Jezhek's gloves [c6654980-703d-4580-86ee-069011c52f80]                           Price=41498 DefenseStab=151 DefenseSlash=111 DefenseSmash=39 MaxStatus=26 Charisma=18 MaxQuality=4 SocialClassId=3 FadeCoef=1 StrReq=0 WealthLevel=0
Magdeburg plate arms [dd6e5871-9436-4825-9546-ee27c5f8735b]                      Price=43764 DefenseStab=147 DefenseSlash=107 SocialClassId=60 DefenseSmash=38 Charisma=27 MaxStatus=25 WealthLevel=10 MaxQuality=4 Visibility=1 FadeCoef=1 StrReq=0
Magdeburg plate arms [c324577c-469f-4d89-a156-b7ab0a8ef45e]                      Price=45897 DefenseStab=147 DefenseSlash=107 SocialClassId=60 DefenseSmash=38 Charisma=33 MaxStatus=25 MaxQuality=4 Visibility=1 Conspicuousness=1 FadeCoef=1 StrReq=0 WealthLevel=0
Peter of Suchotlesky's cuirass [dcfd12a5-9025-4580-9848-8eb034253d66]            Price=38640 DefenseStab=138 DefenseSlash=100 DefenseSmash=36 MaxStatus=26 Charisma=15 MaxQuality=4 SocialClassId=3 FadeCoef=1 StrReq=0 WealthLevel=0
Magdeburg plate arms [ed42a542-70f4-486f-be47-5ac6a237ba87]                      Price=41630 DefenseStab=147 DefenseSlash=107 DefenseSmash=38 MaxStatus=25 Charisma=20 MaxQuality=4 SocialClassId=3 Visibility=1 FadeCoef=1 StrReq=0 WealthLevel=0
